UID,title,authors,keywords,sessions,abstract
A1-1,市況コメント生成のための少数事例選択,川原田将之|石垣達也|高村大也,,A1:言語生成技術の応用,"株価の数値時系列データからその値動きを説明する市況コメントを生成するタスクにおいて，プロンプトに含める少数ショット事例の選択方法が性能向上のために重要であることを述べる．従来，少数ショット事例は無作為に選択されており，その選択方法に関しては十分に研究されてこなかった．本研究では，類似する数値時系列データからのコメントや同一時点でのコメントの傾向が類似しているという特性を活用し，これらを少数ショット事例としてプロンプトに含める手法を提案する．評価実験において，ランダムに選択された事例を使用するベースラインと比較し,提案手法が代表的な評価指標である BLEU，METEOR，BERTScore をいずれも向上させた．"
A1-2,プロンプトチューニングとkNN-LMを組み合わせたリスティング広告のタイトル自動生成,児玉壮平|星野智紀|石塚湖太,,A1:言語生成技術の応用,リス ティ ング 広告 のタ イト ル自 動生 成に は，Fine-Tuning された事前学習済み言語モデルをの活用が盛んである．また，Fine-Tuning はモデルやデータが大規模になると計算コストがより増加する．本研究では，Instruction-Tuning 済みモデルに kNN-LMを導入し，プロンプトチューニングと用例検索によって広告タイトルを生成する．さらに，kNN-LMにおいて用例検索を行うモデルと生成を行うモデルを分けることで，プロンプトチューニングの度にkNN-LM のデータストアを再構築する必要をなくす．実験によって，提案手法によって広告タイトルの生成品質が向上することを確認し，計算コストを削減できることを確認した．
A1-3,複数の属性に対する評価を含む宿泊施設レビューに対する多様な返信の自動生成,村越裕太|白井清昭,,A1:言語生成技術の応用,本研究は，宿泊施設に関する低評価レビューに対し，定型的で当り障りのない表現を用いずに，レビューワーが苦情を述べている全ての属性について言及した返信を生成することを目的とする．レビュー中の全ての属性に言及するために，レビューを文に分割し，それぞれの文に対して系列変換モデルで返信を生成した後，それらを統合する．系列変換モデルを学習する際には，属性に言及していない返信，定型的な表現が含まれる返信を訓練データからあらかじめ削除する．実験の結果，特に複数の属性を含むレビューに対し，提案手法によって自動生成された返信の品質が向上することを確認した．
A1-4,答案診断グラフを用いた国語記述式答案へのフィードバックの生成,古橋萌々香|舟山弘晃|岩瀬裕哉|松林優一郎|磯部順子|菅原朔|乾健太郎,,A1:言語生成技術の応用,学校教育現場では記述式問題が盛んに使われている．しかし，人手による記述式の答案の採点では，学習者の答案に対して個別最適なアドバイスが難しいという問題がある．本研究では，国語の記述式問題を対象に，学習者の答案の誤りに応じた個別のフィードバックを生成するシステムの構築を目指す．その手法として，実際の教育現場で扱われている本文の論理構造関係に着目し，本文の論理構造，談話関係，フィードバックのテンプレートを統合した答案診断グラフと呼ぶ構造を構築し，答案に記述されている内容と模範解答の内容の対応から，適切なフィードバック文を生成する枠組みを提案する．
A1-5,多様なクイズを自動生成する手法およびその検証,小林俊介|河原大輔,,A1:言語生成技術の応用,クイズは、高齢者の認知機能維持や、エンターテインメントに利用されており、多様なクイズ問題の作成が必要である。しかし、人手による大量の作問にはコストがかかるため、自動生成が望ましい。本研究では、質問生成モデルの学習手法や入出力形式を変更し、多様なクイズ問題の自動生成について検証する。提案手法を用いて生成された問題は、多様な問題を生成することが確認できた。また新規のWikipedia 記事から問題を生成できることも確認でき、システムの有効性が示された。
B1-1,用語制約が多い翻訳に対する手法の提案,加藤優吾|小川泰弘|外山勝彦,,B1:機械翻訳(1),翻訳における訳語の揺れは混乱や誤解を招く可能性があるため，決められた訳語に従った翻訳が必要となる．すなわち，用語制約のある翻訳が求められる．そのための手法として入力拡張[1]などが提案されている．しかし，学習に使用する対訳文が用語制約に従っているとは限らず，それらの対訳文が学習においてノイズとなる可能性がある．そこで，本研究では学習データを選別する手法を導入し，入力拡張と組み合わせる手法を提案する．さらに，日本法令の対訳データセットを用いて実験し，提案手法が有効であることを示す．
B1-2,Post-Editing with Error Annotation for Machine Translation: Dataset Construction using GPT-4,◊YouyuanLin|MasaakiNagata|ChenhuiChu,,B1:機械翻訳(1),"Despite advancements in Large Language Models(LLMs) and their state-of-the-art Machine Translation(MT) performance,ﬁne-grained Automatic Post Editing(APE) remains useful for MT by aiding in error detection,especially when applied to speciﬁc domains. To train suchAPE systems that incor porate error detection capabilities,APE datasets with error annotation are essential. However,most APE datasets are lack of error annotations. We aimto construct error-annotated APE datasets that improve theerror-based editing proﬁciency of APE systems. We lever-age GPT-4, expand post-editing into error-annotated MTdatasets. By employing a Chain-of-Thought (CoT) settingthat applies an error annotation-based analysis step beforepost-editing, we ensure the post-editing corrects the errorswhile maintaining the phraseology. Our experiments on aJapanese-English medical MT dataset reveal that GPT-4,coupled with CoT and error annotations, excels in generat-ing high-quality, annotation-informed post-edits."
B1-3,日本語→琉球諸語翻訳モデルの構築に向けて,當間愛晃|狩俣繁久|岡﨑威生,,B1:機械翻訳(1),消滅の危機に瀕している琉球諸語の記録，記述や復興への一助のため，日本語を琉球諸語へ機械翻訳するモデル構築に向けた3 つの検証を行った．実験結果から，対象言語を含まない翻訳学習を一度行い，その上で日琉翻訳学習を行うことが翻訳品質の向上に寄与することを確認した．品質改善に向けては，本ドメインに特化した評価指標の構築，ルールベース翻訳した中間言語を介した翻訳，検証用・テスト用コーパスの構築，新規トークン埋め込みベクトルの検討が寄与すると考えられる．
B1-4,重文・複文翻訳における Transfomer の性質,丸山京祐|村上仁一,,B1:機械翻訳(1),本論文では，重文・複文の翻訳において対訳単文を学習することが精度に与える影響を Transformerと RNN を比較し調査した．その結果，自動評価指標では Transformer は RNN よりも対訳単文が翻訳精度向上に貢献することが分かった．しかし，人手評価で Transformer と RNN を比較した結果，自動評価指標の数値から期待されるほどの高い翻訳精度が得られなかったことを示す．
B1-5,多言語モデルを用いた日英対訳文集合のフィルタリング手法の分析,酒井大樹|宇津呂武仁|永田昌明,,B1:機械翻訳(1),本論文では，ウェブクロールコーパス であ るJParaCrawl-v3 に含まれる不適切な文対を，多言語モデルによるスコアを用いてフィルタリングすることを目指した．事前に異なる文の断片を含む文対応誤りデータを擬似的に作成し，その誤りの検出する様子を 4 つの言語モデルの間で調査した．その結果，Bicleaner-AI と marian-scorer の方が LEALLA，GPT-2よりも正しく誤りを検出する度合いが大きかった．その後，各モデルを用いて JParaCrawl-v3 のフィルタリングを実行した結果，Bicleaner-AI と marian-scorerは，フィルタリングにおいても英日方向に有意差を出すことがわかった．
